,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotropy Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Mineralogist: June 2018 Deposit AM-18-66285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUFFY: SINGLE-CRYSTAL ELASTIC PROPERTIES OF CUBIC MINERALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,,n_110,n_001,,S11,S12,S44
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,,-,-,,GPa-1,GPa-1,GPa-1
Prp,Mg3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.567,297,93,108,171.000,93.594,93.600,93.597,93.597,93.597,93.597,1.827,0.269,237.466,9.106,6.924,5.122,1.778,0.364,0.313,0.9841,0.0003,0.0001,0.003,,0.274,0.264,,0.0042,-0.0011,0.0108
Prp,Mg3(Al0.985Mg0.015)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.567,296.2,91.6,111.1,172.800,91.978,91.980,91.979,91.979,91.979,91.979,1.879,0.274,234.355,9.101,6.960,5.078,1.792,0.375,0.309,0.9897,0.0001,0.0001,0.001,,0.278,0.271,,0.0042,-0.0012,0.0109
Prp-Alm,(Mg0.90Fe0.08Ca0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.609,297.6,92.7,109.8,172.400,93.176,93.180,93.178,93.178,93.178,93.178,1.850,0.271,236.862,9.066,6.912,5.081,1.784,0.369,0.311,0.9872,0.0002,0.0001,0.002,,0.275,0.267,,0.0042,-0.0011,0.0108
Prp-Alm-Grs,(Mg0.73Fe0.16Ca0.10Mn0.01)3(Al0.91Cr0.05Fe0.04)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.704,295.6,91.6,107.2,170.000,92.623,92.640,92.631,92.632,92.632,92.632,1.835,0.269,235.178,8.902,6.775,5.001,1.780,0.363,0.310,0.9724,0.0009,0.0004,0.009,,0.279,0.261,,0.0042,-0.0011,0.0109
Prp-Alm-Grs,(Mg0.73Fe0.16Ca0.11Mn0.01)3(Al0.90Cr0.06Fe0.04)Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.705,296.9,91.7,108.5,171.300,92.684,92.700,92.692,92.692,92.692,92.692,1.848,0.271,235.584,8.921,6.800,5.002,1.784,0.365,0.309,0.9735,0.0009,0.0004,0.009,,0.280,0.263,,0.0042,-0.0011,0.0109
Prp-Alm,(Mg0.73Fe0.14Ca0.12Mn0.01)3(Al0.88Cr0.09Fe0.03)Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.699,297.5,90.7,108.7,171.633,92.145,92.180,92.162,92.163,92.163,92.163,1.862,0.272,234.512,8.923,6.812,4.992,1.788,0.365,0.305,0.9608,0.0019,0.0009,0.019,,0.286,0.261,,0.0042,-0.0011,0.0110
Prp-Alm-Uv,(Mg0.70Fe0.16Ca0.13Mn0.01)3(Al0.89Cr0.09Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.723,296.0,90.8,108.2,170.800,92.015,92.040,92.028,92.028,92.028,92.028,1.856,0.272,234.047,8.879,6.773,4.972,1.786,0.366,0.307,0.9670,0.0014,0.0006,0.014,,0.283,0.262,,0.0042,-0.0011,0.0110
Prp-Alm-Grs,(Mg0.68Fe0.25Ca0.05Mn0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.831,290.4,92.2,106.2,167.600,92.160,92.160,92.160,92.160,92.160,92.160,1.819,0.268,233.653,8.708,6.614,4.905,1.775,0.366,0.317,1.0011,0.0000,0.0000,0.000,,0.267,0.268,,0.0043,-0.0011,0.0108
Prp-Alm,(Mg0.62Fe0.36Ca0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.839,301.4,94.3,110,173.800,94.855,94.860,94.858,94.858,94.858,94.858,1.832,0.269,240.770,8.844,6.728,4.971,1.779,0.365,0.313,0.9854,0.0003,0.0001,0.003,,0.274,0.265,,0.0041,-0.0011,0.0106
Prp-Alm-Grs,(Mg0.55Fe0.37Ca0.06Mn0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.868,300.2,94.6,108.2,172.200,95.155,95.160,95.158,95.158,95.158,95.158,1.810,0.267,241.068,8.793,6.672,4.960,1.773,0.360,0.315,0.9854,0.0003,0.0001,0.003,,0.272,0.262,,0.0041,-0.0011,0.0106
Prp-Alm-Grs,(Mg0.51Fe0.32Ca0.16Mn0.01)3(Al0.98Fe0.02)2(Si0.99Ti0.01)3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.810,299.1,93.7,106.7,170.833,94.684,94.700,94.692,94.692,94.692,94.692,1.804,0.266,239.774,8.830,6.696,4.985,1.771,0.357,0.313,0.9740,0.0008,0.0004,0.008,,0.275,0.259,,0.0041,-0.0011,0.0107
Prp-Alm,(Mg0.50Fe0.45Ca0.04Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.916,301.7,95.0,109.7,173.700,95.397,95.400,95.399,95.399,95.399,95.399,1.821,0.268,241.909,8.766,6.660,4.936,1.776,0.364,0.315,0.9896,0.0001,0.0001,0.001,,0.272,0.265,,0.0041,-0.0011,0.0105
Prp-Alm-Grs,(Fe0.50Mg0.35Ca0.14Mn0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.937,304.5,95.4,109.9,174.767,96.151,96.160,96.156,96.156,96.156,96.156,1.818,0.268,243.761,8.772,6.663,4.942,1.775,0.361,0.313,0.9805,0.0005,0.0002,0.005,,0.274,0.262,,0.0041,-0.0011,0.0105
Alm-Prp-Grs,(Fe0.48Mg0.41Ca0.10Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.930,303.6,94.9,110.6,174.933,95.534,95.540,95.537,95.537,95.537,95.537,1.831,0.269,242.470,8.771,6.672,4.930,1.779,0.364,0.313,0.9834,0.0003,0.0002,0.003,,0.275,0.264,,0.0041,-0.0011,0.0105
Alm-Prp-Grs,(Fe0.51Mg0.39Ca0.09Mn0.01)3(Al0.99Fe0.01)Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.945,302.7,95.1,108.7,173.367,95.851,95.860,95.855,95.856,95.856,95.856,1.809,0.267,242.815,8.737,6.629,4.929,1.773,0.359,0.314,0.9804,0.0005,0.0002,0.005,,0.273,0.261,,0.0041,-0.0011,0.0105
Alm-Prp-Grs,(Fe0.54Mg0.39Ca0.06Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.976,302.7,94.7,109.1,173.633,95.529,95.540,95.534,95.535,95.535,95.535,1.817,0.268,242.186,8.701,6.608,4.902,1.775,0.360,0.313,0.9783,0.0006,0.0003,0.006,,0.275,0.261,,0.0041,-0.0011,0.0106
Alm-Prp-Spr,(Fe0.60Mg0.28Mn0.09Ca0.03)3(Al0.97Fe0.03)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.043,305.5,95.3,110.3,175.367,96.207,96.220,96.213,96.214,96.214,96.214,1.823,0.268,244.015,8.666,6.586,4.878,1.777,0.361,0.312,0.9764,0.0007,0.0003,0.007,,0.276,0.261,,0.0040,-0.0011,0.0105
Alm-Prp-Spr,(Fe0.64Mg0.22Mn0.11Ca0.03)3(Al0.98Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.131,306.7,94.9,111.9,176.833,95.884,95.900,95.892,95.892,95.892,95.892,1.844,0.270,243.637,8.588,6.543,4.818,1.783,0.365,0.309,0.9743,0.0008,0.0004,0.008,,0.279,0.263,,0.0041,-0.0011,0.0105
Alm-Prp,(Fe0.76Mg0.21Ca0.03)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.1602,306.2,92.7,112.5,177.067,94.317,94.360,94.338,94.339,94.339,94.339,1.877,0.274,240.333,8.532,6.524,4.762,1.792,0.367,0.303,0.9572,0.0023,0.0010,0.023,,0.289,0.261,,0.0041,-0.0011,0.0108
